commit,date,method,throughput,us_per_step,avg_accept_len
87eee98,2026-05-09T21:00:21,Transformer AR,699282,1.43,1.00
87eee98,2026-05-09T21:00:21,DFlash,4235454,1.89,8.00
87eee98,2026-05-09T21:00:21,DDTree Build,428952,2.33,0.00
87eee98,2026-05-09T21:00:21,Speculative (Simulated),1154760,4.33,5.00
87eee98,2026-05-09T21:00:21,Speculative (AR Draft),1639371,4.27,7.00
87eee98,2026-05-09T21:00:21,Leviathan (Algorithm 1),115335,10.22,1.18
87eee98,2026-05-09T21:00:21,Leviathan (no rollback),115007,10.25,1.18
87eee98,2026-05-09T21:00:21,Leviathan (w/ rollback),210164,5.59,1.18
87eee98,2026-05-09T21:00:21,Spec (unconditioned),1171010,4.27,5.00
87eee98,2026-05-09T21:00:21,Spec (conditioned),1227791,5.49,6.74
87eee98,2026-05-09T21:00:21,Prefill (no compress),19693757,3.25,64.00
87eee98,2026-05-09T21:00:21,Prefill (compressed),2011419,3.48,7.00
87eee98,2026-05-09T21:00:21,DDTree (no chain),433591,2.31,16.00
87eee98,2026-05-09T21:00:21,DDTree (chain-seed),455685,2.19,16.00
87eee98,2026-05-09T21:00:21,DDTree (screened R=1.0),329941,3.03,16.00
87eee98,2026-05-09T21:00:21,DDTree (screened adapter),338982,2.95,16.00
87eee98,2026-05-09T21:00:21,forward (flat),1212964,0.82,0.00
87eee98,2026-05-09T21:00:21,forward_paged,1027068,0.97,0.00
87eee98,2026-05-09T21:00:21,forward_raven (16 slots),1554153,0.64,0.00
87eee98,2026-05-09T21:00:21,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),10178117,0.10,63.21
