commit,date,method,throughput,us_per_step,avg_accept_len
c69ba93,2026-05-07T11:46:15,Transformer AR,1171507,0.85,1.00
c69ba93,2026-05-07T11:46:15,DFlash,4021577,1.99,8.00
c69ba93,2026-05-07T11:46:15,DDTree Build,358617,2.79,0.00
c69ba93,2026-05-07T11:46:15,Speculative (Simulated),1019419,4.90,5.00
c69ba93,2026-05-07T11:46:15,Speculative (AR Draft),1449685,4.83,7.00
c69ba93,2026-05-07T11:46:15,Leviathan (Algorithm 1),111260,10.60,1.18
c69ba93,2026-05-07T11:46:15,Leviathan (no rollback),111375,10.58,1.18
c69ba93,2026-05-07T11:46:15,Leviathan (w/ rollback),190630,6.16,1.18
c69ba93,2026-05-07T11:46:15,Spec (unconditioned),1025850,4.87,5.00
c69ba93,2026-05-07T11:46:15,Spec (conditioned),1099002,6.14,6.74
c69ba93,2026-05-07T11:46:15,Prefill (no compress),18863550,3.39,64.00
c69ba93,2026-05-07T11:46:15,Prefill (compressed),1889915,3.70,7.00
c69ba93,2026-05-07T11:46:15,DDTree (no chain),358617,2.79,16.00
c69ba93,2026-05-07T11:46:15,DDTree (chain-seed),377692,2.65,16.00
c69ba93,2026-05-07T11:46:27,Transformer AR,1184514,0.84,1.00
c69ba93,2026-05-07T11:46:27,DFlash,4035217,1.98,8.00
c69ba93,2026-05-07T11:46:27,DDTree Build,362382,2.76,0.00
c69ba93,2026-05-07T11:46:27,Speculative (Simulated),1033478,4.84,5.00
c69ba93,2026-05-07T11:46:27,Speculative (AR Draft),1455028,4.81,7.00
c69ba93,2026-05-07T11:46:27,Leviathan (Algorithm 1),111422,10.58,1.18
c69ba93,2026-05-07T11:46:27,Leviathan (no rollback),111493,10.57,1.18
c69ba93,2026-05-07T11:46:27,Leviathan (w/ rollback),191340,6.14,1.18
c69ba93,2026-05-07T11:46:27,Spec (unconditioned),1033911,4.84,5.00
c69ba93,2026-05-07T11:46:27,Spec (conditioned),1093998,6.17,6.74
c69ba93,2026-05-07T11:46:27,Prefill (no compress),18794421,3.41,64.00
c69ba93,2026-05-07T11:46:27,Prefill (compressed),1891666,3.70,7.00
c69ba93,2026-05-07T11:46:27,DDTree (no chain),360167,2.78,16.00
c69ba93,2026-05-07T11:46:27,DDTree (chain-seed),380003,2.63,16.00
